areaCode,areaName,areaType,date,hospitalCases
K02000001,United Kingdom,overview,2023-03-07,8566
K02000001,United Kingdom,overview,2023-03-06,8491
K02000001,United Kingdom,overview,2023-03-05,8365
K02000001,United Kingdom,overview,2023-03-04,8229
K02000001,United Kingdom,overview,2023-03-03,8386
K02000001,United Kingdom,overview,2023-03-02,8398
K02000001,United Kingdom,overview,2023-03-01,8837
K02000001,United Kingdom,overview,2023-02-28,8412
K02000001,United Kingdom,overview,2023-02-27,8407
K02000001,United Kingdom,overview,2023-02-26,8333
K02000001,United Kingdom,overview,2023-02-25,8264
K02000001,United Kingdom,overview,2023-02-24,8367
K02000001,United Kingdom,overview,2023-02-23,8884
K02000001,United Kingdom,overview,2023-02-22,9259
K02000001,United Kingdom,overview,2023-02-21,8684
K02000001,United Kingdom,overview,2023-02-20,8699
K02000001,United Kingdom,overview,2023-02-19,8447
K02000001,United Kingdom,overview,2023-02-18,8277
K02000001,United Kingdom,overview,2023-02-17,8184
K02000001,United Kingdom,overview,2023-02-16,8080
K02000001,United Kingdom,overview,2023-02-15,8408
K02000001,United Kingdom,overview,2023-02-14,7835
K02000001,United Kingdom,overview,2023-02-13,7730
K02000001,United Kingdom,overview,2023-02-12,7495
K02000001,United Kingdom,overview,2023-02-11,7248
K02000001,United Kingdom,overview,2023-02-10,7602
K02000001,United Kingdom,overview,2023-02-09,7579
K02000001,United Kingdom,overview,2023-02-08,7574
K02000001,United Kingdom,overview,2023-02-07,7591
K02000001,United Kingdom,overview,2023-02-06,7646
K02000001,United Kingdom,overview,2023-02-05,7496
K02000001,United Kingdom,overview,2023-02-04,7386
K02000001,United Kingdom,overview,2023-02-03,7417
K02000001,United Kingdom,overview,2023-02-02,7337
K02000001,United Kingdom,overview,2023-02-01,7212
K02000001,United Kingdom,overview,2023-01-31,7159
K02000001,United Kingdom,overview,2023-01-30,7132
K02000001,United Kingdom,overview,2023-01-29,6999
K02000001,United Kingdom,overview,2023-01-28,6917
K02000001,United Kingdom,overview,2023-01-27,6882
K02000001,United Kingdom,overview,2023-01-26,6879
K02000001,United Kingdom,overview,2023-01-25,6886
K02000001,United Kingdom,overview,2023-01-24,6926
K02000001,United Kingdom,overview,2023-01-23,7122
K02000001,United Kingdom,overview,2023-01-22,7022
K02000001,United Kingdom,overview,2023-01-21,7050
K02000001,United Kingdom,overview,2023-01-20,7302
K02000001,United Kingdom,overview,2023-01-19,7499
K02000001,United Kingdom,overview,2023-01-18,7848
K02000001,United Kingdom,overview,2023-01-17,8270
K02000001,United Kingdom,overview,2023-01-16,8393
K02000001,United Kingdom,overview,2023-01-15,8483
K02000001,United Kingdom,overview,2023-01-14,8657
K02000001,United Kingdom,overview,2023-01-13,9010
K02000001,United Kingdom,overview,2023-01-12,9353
K02000001,United Kingdom,overview,2023-01-11,9707
K02000001,United Kingdom,overview,2023-01-10,10083
K02000001,United Kingdom,overview,2023-01-09,10471
K02000001,United Kingdom,overview,2023-01-08,10521
K02000001,United Kingdom,overview,2023-01-07,10673
K02000001,United Kingdom,overview,2023-01-06,10827
K02000001,United Kingdom,overview,2023-01-05,11318
K02000001,United Kingdom,overview,2023-01-04,11627
K02000001,United Kingdom,overview,2023-01-03,11629
K02000001,United Kingdom,overview,2023-01-02,11740
K02000001,United Kingdom,overview,2023-01-01,11703
K02000001,United Kingdom,overview,2022-12-31,11584
K02000001,United Kingdom,overview,2022-12-30,11722
K02000001,United Kingdom,overview,2022-12-29,11670
K02000001,United Kingdom,overview,2022-12-28,11538
K02000001,United Kingdom,overview,2022-12-27,11306
K02000001,United Kingdom,overview,2022-12-26,11160
K02000001,United Kingdom,overview,2022-12-25,10923
K02000001,United Kingdom,overview,2022-12-24,10998
K02000001,United Kingdom,overview,2022-12-23,10984
K02000001,United Kingdom,overview,2022-12-22,10849
K02000001,United Kingdom,overview,2022-12-21,10491
K02000001,United Kingdom,overview,2022-12-20,10144
K02000001,United Kingdom,overview,2022-12-19,9756
K02000001,United Kingdom,overview,2022-12-18,9319
K02000001,United Kingdom,overview,2022-12-17,8976
K02000001,United Kingdom,overview,2022-12-16,8717
K02000001,United Kingdom,overview,2022-12-15,8448
K02000001,United Kingdom,overview,2022-12-14,8155
K02000001,United Kingdom,overview,2022-12-13,7759
K02000001,United Kingdom,overview,2022-12-12,7503
K02000001,United Kingdom,overview,2022-12-11,7351
K02000001,United Kingdom,overview,2022-12-10,7183
K02000001,United Kingdom,overview,2022-12-09,7018
K02000001,United Kingdom,overview,2022-12-08,6831
K02000001,United Kingdom,overview,2022-12-07,6672
K02000001,United Kingdom,overview,2022-12-06,6507
K02000001,United Kingdom,overview,2022-12-05,6390
K02000001,United Kingdom,overview,2022-12-04,6230
K02000001,United Kingdom,overview,2022-12-03,6093
K02000001,United Kingdom,overview,2022-12-02,6105
K02000001,United Kingdom,overview,2022-12-01,6067
K02000001,United Kingdom,overview,2022-11-30,6024
K02000001,United Kingdom,overview,2022-11-29,5861
K02000001,United Kingdom,overview,2022-11-28,5801
K02000001,United Kingdom,overview,2022-11-27,5650
K02000001,United Kingdom,overview,2022-11-26,5579
K02000001,United Kingdom,overview,2022-11-25,5656
K02000001,United Kingdom,overview,2022-11-24,5733
K02000001,United Kingdom,overview,2022-11-23,5655
K02000001,United Kingdom,overview,2022-11-22,5720
K02000001,United Kingdom,overview,2022-11-21,5746
K02000001,United Kingdom,overview,2022-11-20,5763
K02000001,United Kingdom,overview,2022-11-19,5749
K02000001,United Kingdom,overview,2022-11-18,5834
K02000001,United Kingdom,overview,2022-11-17,5935
K02000001,United Kingdom,overview,2022-11-16,6127
K02000001,United Kingdom,overview,2022-11-15,6289
K02000001,United Kingdom,overview,2022-11-14,6433
K02000001,United Kingdom,overview,2022-11-13,6421
K02000001,United Kingdom,overview,2022-11-12,6425
K02000001,United Kingdom,overview,2022-11-11,6536
K02000001,United Kingdom,overview,2022-11-10,6722
K02000001,United Kingdom,overview,2022-11-09,6847
K02000001,United Kingdom,overview,2022-11-08,7077
K02000001,United Kingdom,overview,2022-11-07,7256
K02000001,United Kingdom,overview,2022-11-06,7466
K02000001,United Kingdom,overview,2022-11-05,7633
K02000001,United Kingdom,overview,2022-11-04,7927
K02000001,United Kingdom,overview,2022-11-03,8256
K02000001,United Kingdom,overview,2022-11-02,8612
K02000001,United Kingdom,overview,2022-11-01,8998
K02000001,United Kingdom,overview,2022-10-31,9511
K02000001,United Kingdom,overview,2022-10-30,9730
K02000001,United Kingdom,overview,2022-10-29,9827
K02000001,United Kingdom,overview,2022-10-28,10230
K02000001,United Kingdom,overview,2022-10-27,10439
K02000001,United Kingdom,overview,2022-10-26,10749
K02000001,United Kingdom,overview,2022-10-25,10978
K02000001,United Kingdom,overview,2022-10-24,11340
K02000001,United Kingdom,overview,2022-10-23,11406
K02000001,United Kingdom,overview,2022-10-22,11426
K02000001,United Kingdom,overview,2022-10-21,11594
K02000001,United Kingdom,overview,2022-10-20,11772
K02000001,United Kingdom,overview,2022-10-19,12041
K02000001,United Kingdom,overview,2022-10-18,12273
K02000001,United Kingdom,overview,2022-10-17,12393
K02000001,United Kingdom,overview,2022-10-16,12294
K02000001,United Kingdom,overview,2022-10-15,12191
K02000001,United Kingdom,overview,2022-10-14,12079
K02000001,United Kingdom,overview,2022-10-13,12229
K02000001,United Kingdom,overview,2022-10-12,12314
K02000001,United Kingdom,overview,2022-10-11,12179
K02000001,United Kingdom,overview,2022-10-10,12071
K02000001,United Kingdom,overview,2022-10-09,11813
K02000001,United Kingdom,overview,2022-10-08,11630
K02000001,United Kingdom,overview,2022-10-07,11635
K02000001,United Kingdom,overview,2022-10-06,11460
K02000001,United Kingdom,overview,2022-10-05,11142
K02000001,United Kingdom,overview,2022-10-04,10770
K02000001,United Kingdom,overview,2022-10-03,10268
K02000001,United Kingdom,overview,2022-10-02,9749
K02000001,United Kingdom,overview,2022-10-01,9407
K02000001,United Kingdom,overview,2022-09-30,8975
K02000001,United Kingdom,overview,2022-09-29,8559
K02000001,United Kingdom,overview,2022-09-28,8289
K02000001,United Kingdom,overview,2022-09-27,8033
K02000001,United Kingdom,overview,2022-09-26,7676
K02000001,United Kingdom,overview,2022-09-25,7222
K02000001,United Kingdom,overview,2022-09-24,6950
K02000001,United Kingdom,overview,2022-09-23,6735
K02000001,United Kingdom,overview,2022-09-22,6480
